grouped,category,value
commission,Seller 06,0
commission,Seller 27,1955623
commission,Seller 03,4426950
commission,Seller 01,1253942
commission,Seller 25,4171000
commission,Seller 07,1471322
commission,Seller 15,5341476
commission,Seller 28,3576425
commission,Seller 09,44582
commission,Seller 17,1129225
commission,Seller 18,1594873
commission,Seller 26,1854262
commission,Seller 04,1786250
commission,Seller 13,7516715
commission,Seller 10,0
commission,Seller 16,3017500
commission,Seller 02,0
commission,Seller 30,2572425
commission,Seller 29,3201683
commission,Seller 31,862650
commission,Organizer,0
commission,Seller 08,5307147
commission,Seller 05,21914275
commission,Seller 20,974375
commission,Seller 22,4199754
commission,Seller 19,2951575
commission,Seller 24,947250
unclaimed_balance,Guest,185300
unclaimed_balance,Staff,1601500
unclaimed_balance,Regular,2892100
unclaimed_balance,Online,28709767
ticket_sales,7. vlna - celofestivalová,41370000
ticket_sales,1. vlna - pátek,16020000
ticket_sales,Dětská - celofestivalová,8865000
ticket_sales,4. vlna - celofestivalová,76125000
ticket_sales,Partner O2 - celofestivalová,24300000
ticket_sales,3. vlna - sobota,88440000
ticket_sales,Partner MH - celofestivalová,3300000
ticket_sales,2. vlna - pátek,24415000
ticket_sales,BF - celofestivalová,35670000
ticket_sales,1. vlna - celofestivalová,77865000
ticket_sales,VIP - celofestivalová,16200000
ticket_sales,1. vlna - sobota,68708000
ticket_sales,Partner T - celofestivalová,17515000
ticket_sales,5. vlna - celofestivalová,69930000
ticket_sales,Partner K - celofestivalová,4000000
ticket_sales,2. vlna - celofestivalová,105865000
ticket_sales,Partner O2 - celofestivalová,15500000
ticket_sales,Dětská - celofestivalová,3960000
ticket_sales,2. vlna - sobota,81081000
ticket_sales,Partner B - celofestivalová,0
ticket_sales,VIP - celofestivalová,20250000
ticket_sales,sobota - jednodenní,72802000
ticket_sales,Partner K - sobota,1500000
ticket_sales,6. vlna - celofestivalová,77220000
ticket_sales,2. vlna - čtvrtek,53580000
ticket_sales,3. vlna - celofestivalová,16665000
ticket_sales,3. vlna - celofestivalová,62205000
ticket_sales,Partner Č - celofestivalová,4050000
ticket_sales,Partner K - pátek,800000
ticket_sales,Partner K - čtvrtek,1200000
ticket_sales,1. vlna - čtvrtek,28569000
direct_sales,Salty snacks,201634400
direct_sales,Wine,27139300
direct_sales,Spirits,260278500
direct_sales,Complimentary,17338700
direct_sales,Beer,338291300
direct_sales,Non-Alcoholic,105257200
direct_sales,Sweet snacks,8543500
