product_name,category,transaction_count,sales_count,refund_count,customer_count
Kelímek - záloha,,29148,22045,-17322,8729
Radegast 12°,Beer,12870,16449,-30,3760
Hladinka - Prazdroj,Beer,9127,12222,-27,2958
Radegast 10°,Beer,7674,10181,-14,2846
"Frisco 0,4l",Beer,6647,8216,-7,2214
"Absolut vodka 0,04l",Spirits,3351,6608,-4,1262
Becherovka Lemond,Spirits,1925,4946,-5,974
Birell,Non-Alcoholic,4373,4900,-7,2321
"ZON 0,5l",Non-Alcoholic,2992,3330,-11,1681
Redbull - klasik,Non-Alcoholic,2798,3277,-12,1334
"Proud 0,4l",Beer,2452,2912,-4,1209
Příloha,Salty Snacks,1216,2504,-2,1013
Beefeater + Dry Tonic,Spirits,1848,2402,0,926
Langoš,Salty Snacks,1982,2110,0,1760
Pizza 1 kus,Salty Snacks,1633,1870,-3,1180
VIP - Prazdroj,Beer,1274,1767,-1,237
"Voda 0,5l",Non-Alcoholic,1553,1698,-8,1068
Havana Cuba Libre,Spirits,1208,1547,-2,534
Absolut Vodka + redbull,Spirits,1281,1529,-9,769
"Beefeater Pink, Orange, Peach + Tonic",Spirits,1102,1427,-2,661
"Cola 0,5l",Non-Alcoholic,1305,1393,-7,889
"Prosecco 0,1l",Wine,374,1239,0,231
Domácí Hranolky velké,,950,995,0,835
Bramborák,Salty Snacks,875,974,0,714
Domácí hranolky malé,,868,934,0,772
Nudle s gyrosem,Salty Snacks,824,889,0,733
Klobása,Salty Snacks,775,845,-2,694
Fire Štrúdl,Spirits,576,770,0,291
"Láhvové víno 0,1 l",Wine,264,749,0,107
TRDELNÍK,,677,730,0,614
Jarní zážitek,Salty Snacks,356,709,0,302
Malibu + Pineapple,Spirits,622,709,-2,312
BEERPONG - PIVO,Beer,439,681,0,272
"ZON 0,3l",Non-Alcoholic,626,676,-3,452
BEERPONG - STARTOVNÉ,Complimentary,429,661,0,270
"Víno 0,1l",Wine,244,597,-2,98
"VInný střik 0,5 l",Wine,504,555,0,197
Tortila s gyrosem,Salty Snacks,511,548,0,463
Ořez prasate,Salty Snacks,496,525,0,427
Durum,Salty Snacks,478,520,0,428
Pizza 2 kusy,Salty Snacks,513,519,-1,467
Churros s omáčkou,,499,515,0,451
Absolut Skinny Bitch,Spirits,391,514,0,175
Smažení nudle s kuř. Masem,Salty Snacks,436,466,0,394
"VIP - Stáčená soda 0,1l",Non-Alcoholic,138,465,0,60
"VIP - Víno 0,1l",Wine,185,461,0,64
Ciao Spritz,,300,452,-2,181
"Jack Daniel's Honey 0,04l",Spirits,235,450,0,163
Cappuccino,Non-Alcoholic,384,443,0,294
Jack Daniel's + Cola,Spirits,309,416,0,211
Espresso,Non-Alcoholic,335,416,0,258
Malibu,Spirits,226,415,0,142
Absolut + Džus,Spirits,338,413,0,194
KELÍMEK ZÁLOHA,Complimentary,359,406,-1,264
"Stáčené víno 0,1 l",Wine,173,393,0,75
Jack Daniel's Apple + Tonic,Spirits,294,392,0,234
"Aperol, Hugo spritz",Spirits,315,376,-1,181
Zmrzlina,Sweet Snacks,285,350,0,239
IPA,Beer,268,333,-1,125
Smažení nudle se zeleninou,Salty Snacks,305,323,0,272
Smažení nudle s gyrosě,Salty Snacks,307,323,0,283
Box,,289,317,0,266
"Coca cola 0,1l",Non-Alcoholic,76,316,0,55
Chléb,Salty Snacks,301,315,0,267
Burger malý 100g,Salty Snacks,269,307,0,237
"Beefeater Pink 0,04l",Spirits,176,305,0,117
Redbull - Tropic,Non-Alcoholic,285,305,0,179
"VIP - ZON (cimo) 0,5l",Non-Alcoholic,274,297,0,120
Franz Spalek,Beer,253,285,0,156
Jack Daniel's + Zázvor,Spirits,189,278,-1,138
"Jack Daniel's Apple 0,04l",Spirits,133,276,0,109
"Havana 3 Y.O. 0,04l",Spirits,168,276,0,98
Marakuja Spritz,,199,276,0,126
Redbull - Summer,Non-Alcoholic,236,262,0,160
"VIP - Voda 0,5l",Non-Alcoholic,206,256,0,111
Hermelín,Salty Snacks,242,254,0,218
Oštěpok,Salty Snacks,231,253,0,195
"Stáčené víno 0,3 l",Wine,223,249,0,105
"Jack Daniel's Fire 0,04l",Spirits,123,242,-1,80
"Bumbu original 0,04l",Spirits,99,239,0,74
Waffle TOP,Sweet Snacks,232,239,-1,221
"VIP - Cola 0,5l",Non-Alcoholic,201,226,0,112
sobota,,168,224,0,0
"VIP - ZON (cimo) 0,3l",Non-Alcoholic,193,219,0,97
"Vinný střik 0,3 l",Wine,191,218,-1,97
Malfy Rosa + Tonic,Spirits,142,218,-1,83
"Spritz 0,1l",Wine,50,211,0,27
Gril. Maso,Salty Snacks,209,208,0,175
"Soda 0,1l",Non-Alcoholic,76,207,0,47
Magnetka,Complimentary,184,195,0,181
VIP - Beefeater Gin Tonic,Spirits,147,192,0,62
"Jameson 0,04l",Spirits,108,189,0,59
Hugo Spritz,,129,188,0,80
Zmrlina,Sweet Snacks,155,185,0,141
"Jack on the rocks 0,04l",Spirits,102,180,0,79
