product1,product2,combination_count,percentage_of_all_transactions
Absolut Vodka,Redbull,2457,2.48
Klobása,Příloha,759,0.76
BP - PIVO,BP - STARTOVNÉ,422,0.43
Chléb,Ořez prasate,299,0.3
Hermelín,Příloha,198,0.2
Pilsner Urquell,ZON Lemonade,167,0.17
Oštěpok,Příloha,159,0.16
Gril. Maso,Příloha,155,0.16
Absolut Vodka,Beefeater,145,0.15
Radegast,ZON Lemonade,142,0.14
Beefeater,Havana,132,0.13
Pilsner Urquell,Water,116,0.12
"VIP - Víno 0,1l",Water,112,0.11
Lemonade,Water,97,0.1
Příloha,Zelenina,86,0.09
Pilsner Urquell,Proud,78,0.08
Pilsner Urquell,Radegast,76,0.08
Fire Štrúdl,Jack Daniels,74,0.07
"Láhvové víno 0,1 l",Water,72,0.07
Beefeater,Water,71,0.07
