product1,product2,combination_count,percentage_of_all_transactions,product1_total_count,product2_total_count,product1_percentage,product2_percentage
Absolut Vodka,Redbull,2457,2.48,5191,3380,5.23,3.41
Klobása,Příloha,759,0.76,775,1216,0.78,1.23
BEERPONG - PIVO,BEERPONG - START,422,0.43,439,429,0.44,0.43
Chléb,Ořez prasate,299,0.3,301,496,0.3,0.5
Hermelín,Příloha,198,0.2,242,1216,0.24,1.23
Pilsner Urquell,ZON Lemonade,167,0.17,10490,4103,10.57,4.13
Oštěpok,Příloha,159,0.16,231,1216,0.23,1.23
Gril. Maso,Příloha,155,0.16,209,1216,0.21,1.23
Absolut Vodka,Beefeater,145,0.15,5191,3297,5.23,3.32
Radegast,ZON Lemonade,142,0.14,20675,4103,20.83,4.13
Beefeater,Havana,132,0.13,3297,1312,3.32,1.32
Pilsner Urquell,Water,116,0.12,10490,2250,10.57,2.27
"VIP - Víno 0,1l",Water,112,0.11,185,2250,0.19,2.27
Lemonade,Water,97,0.1,1844,2250,1.86,2.27
Příloha,Zelenina,86,0.09,1216,167,1.23,0.17
Pilsner Urquell,Proud,78,0.08,10490,2452,10.57,2.47
Pilsner Urquell,Radegast,76,0.08,10490,20675,10.57,20.83
Fire Štrúdl,Jack Daniels,74,0.07,576,1379,0.58,1.39
"Láhvové víno 0,1 l",Water,72,0.07,264,2250,0.27,2.27
Beefeater,Water,71,0.07,3297,2250,3.32,2.27
