legal_name,transaction_count,customer_count
Organizer,89217,9831
Seller 05,5113,3632
Seller 15,2282,1571
Seller 13,1812,1533
Seller 29,1623,915
Seller 28,1468,530
Seller 08,1359,1118
Seller 22,1124,877
Seller 30,944,769
Seller 25,799,704
Seller 04,761,550
Seller 03,761,417
Seller 27,677,614
Seller 16,621,535
Seller 26,506,455
Seller 01,505,437
Seller 19,421,358
Seller 18,307,265
Seller 07,297,146
Seller 06,203,200
Seller 17,191,181
Seller 20,183,115
Seller 31,140,111
Seller 24,75,67
Seller 02,31,30
Seller 09,27,26
Seller 10,5,4
