product_name,category,transaction_count,sales_count,refund_count,customer_count
Kelímek - záloha,,29148,17933,11215,8729
Radegast 12°,Pivo,12870,12844,26,3760
Hladinka - Prazdroj,Pivo,9127,9106,21,2958
Radegast 10°,Pivo,7674,7662,12,2846
"Frisco 0,4l",Pivo,6647,6643,4,2214
Birell,Nealko,4373,4367,6,2321
"Absolut vodka 0,04l",Ostatní alkohol,3351,3348,3,1262
"ZON 0,5l",Nealko,2992,2983,9,1681
Redbull - klasik,Nealko,2798,2787,11,1334
"Proud 0,4l",Pivo,2452,2448,4,1209
Langoš,Slané,1982,1982,0,1760
Becherovka Lemond,Ostatní alkohol,1925,1922,3,974
Beefeater + Dry Tonic,Ostatní alkohol,1848,1848,0,926
Pizza 1 kus,Slané,1633,1631,2,1180
"Voda 0,5l",Nealko,1553,1547,6,1068
"Cola 0,5l",Nealko,1305,1300,5,889
Absolut Vodka + redbull,Ostatní alkohol,1281,1276,5,769
VIP - Prazdroj,Pivo,1274,1273,1,237
Příloha,Slané,1216,1215,1,1013
Havana Cuba Libre,Ostatní alkohol,1208,1206,2,534
"Beefeater Pink, Orange, Peach + Tonic",Ostatní alkohol,1102,1101,1,661
Domácí Hranolky velké,,950,950,0,835
Bramborák,Slané,875,875,0,714
Domácí hranolky malé,,868,868,0,772
Nudle s gyrosem,Slané,824,824,0,733
Klobása,Slané,775,774,1,694
TRDELNÍK,,677,677,0,614
"ZON 0,3l",Nealko,626,623,3,452
Malibu + Pineapple,Ostatní alkohol,622,621,1,312
Fire Štrúdl,Ostatní alkohol,576,576,0,291
Pizza 2 kusy,Slané,513,512,1,467
Tortila s gyrosem,Slané,511,511,0,463
"VInný střik 0,5 l",Víno,504,504,0,197
Churros s omáčkou,,499,499,0,451
Ořez prasate,Slané,496,496,0,427
Durum,Slané,478,478,0,428
BEERPONG - PIVO,Pivo,439,439,0,272
Smažení nudle s kuř. Masem,Slané,436,436,0,394
BEERPONG - STARTOVNÉ,Doplňkový sortiment,429,429,0,270
Absolut Skinny Bitch,Ostatní alkohol,391,391,0,175
Cappuccino,Nealko,384,384,0,294
"Prosecco 0,1l",Víno,374,374,0,231
KELÍMEK ZÁLOHA,Doplňkový sortiment,359,358,1,264
Jarní zážitek,Slané,356,356,0,302
Absolut + Džus,Ostatní alkohol,338,338,0,194
Espresso,Nealko,335,335,0,258
"Aperol, Hugo spritz",Ostatní alkohol,315,314,1,181
Jack Daniel's + Cola,Ostatní alkohol,309,309,0,211
Smažení nudle s gyrosě,Slané,307,307,0,283
Smažení nudle se zeleninou,Slané,305,305,0,272
