product1,product2,combination_count,percentage_of_all_transactions
Radegast,Kelímek - záloha,5202,4.69
Absolut Vodka,Redbull,2457,2.22
Frisco,Kelímek - záloha,1793,1.62
Birell,Kelímek - záloha,1728,1.56
Pilsner Urquell,Kelímek - záloha,1627,1.47
ZON Lemonade,Kelímek - záloha,1509,1.36
Absolut Vodka,Kelímek - záloha,1174,1.06
Beefeater,Kelímek - záloha,977,0.88
Lemonade,Kelímek - záloha,767,0.69
Klobása,Příloha,759,0.68
Water,Kelímek - záloha,607,0.55
Proud,Kelímek - záloha,597,0.54
Redbull,Kelímek - záloha,585,0.53
Jack Daniels,Kelímek - záloha,545,0.49
BEERPONG - PIVO,BEERPONG - STARTOVNÉ,422,0.38
Havana,Kelímek - záloha,327,0.29
Chléb,Ořez prasate,299,0.27
Malibu + Pineapple,Kelímek - záloha,245,0.22
Hermelín,Příloha,198,0.18
Pilsner Urquell,ZON Lemonade,167,0.15
