day,avg_processing_time,type,count
2024-07-04 12:00:00.000000,1,order,3
2024-07-04 12:00:00.000000,2.467,chip_register,122
2024-07-04 13:00:00.000000,0.4,order,5
2024-07-04 13:00:00.000000,2.483,chip_register,58
2024-07-04 14:00:00.000000,0.066,chip_register,1143
2024-07-04 14:00:00.000000,0.306,topup,867
2024-07-04 14:00:00.000000,0.594,order,1171
2024-07-04 15:00:00.000000,0.053,chip_register,1736
2024-07-04 15:00:00.000000,0.342,topup,1376
2024-07-04 15:00:00.000000,0.721,order,3208
2024-07-04 16:00:00.000000,0.433,topup,1827
2024-07-04 16:00:00.000000,0.677,order,4690
2024-07-04 16:00:00.000000,0.076,chip_register,2165
2024-07-04 17:00:00.000000,0.071,chip_register,1430
2024-07-04 17:00:00.000000,0.669,order,5635
2024-07-04 17:00:00.000000,0.453,topup,1412
2024-07-04 18:00:00.000000,0.493,topup,739
2024-07-04 18:00:00.000000,0.69,order,4511
2024-07-04 18:00:00.000000,0.174,chip_register,581
2024-07-04 19:00:00.000000,0.462,topup,455
2024-07-04 19:00:00.000000,0.613,order,5073
2024-07-04 19:00:00.000000,0.292,chip_register,171
2024-07-04 20:00:00.000000,0.593,topup,354
2024-07-04 20:00:00.000000,0.262,chip_register,42
2024-07-04 20:00:00.000000,0.637,order,4629
2024-07-04 21:00:00.000000,1.2,chip_register,10
2024-07-04 21:00:00.000000,0.799,order,2928
2024-07-04 21:00:00.000000,0.514,topup,181
2024-07-04 22:00:00.000000,0.935,order,2124
2024-07-04 22:00:00.000000,0.458,topup,107
2024-07-04 22:00:00.000000,2,chip_register,2
2024-07-04 23:00:00.000000,0.933,order,1024
2024-07-04 23:00:00.000000,0.487,topup,39
2024-07-05 00:00:00.000000,1.74,order,196
2024-07-05 00:00:00.000000,1,topup,1
2024-07-05 01:00:00.000000,0,order,1
2024-07-05 09:00:00.000000,1,chip_register,1
2024-07-05 10:00:00.000000,0.5,chip_register,2
2024-07-05 11:00:00.000000,1,chip_register,1
2024-07-05 11:00:00.000000,0.5,order,2
2024-07-05 12:00:00.000000,0.923,chip_register,13
2024-07-05 12:00:00.000000,1,order,3
2024-07-05 12:00:00.000000,2.2,topup,5
2024-07-05 13:00:00.000000,2.143,order,21
2024-07-05 13:00:00.000000,1.556,topup,9
2024-07-05 13:00:00.000000,1.952,chip_register,21
2024-07-05 14:00:00.000000,0.507,topup,339
2024-07-05 14:00:00.000000,0.235,chip_register,217
2024-07-05 14:00:00.000000,1.021,order,1160
