entity,transaction_count,customer_count,max_hourly_peak
L20 PIVNÍ STAN 1,10114,9159,840
Place 78,5113,4914,479
A19 PIVO 1,5073,4615,608
L16 FRISCO,3646,3420,235
Place 11,3226,3078,265
L22 BEEFEATER/ HAVANA 1,2857,2613,317
A19 VÝKUP KELÍMKŮ,2743,2683,316
A2 PIVO 1,2630,2418,249
L2 HOSPODA PRAZDROJ,2609,2154,171
05 PIVO 1,2572,2367,217
A19 VÝKUP KELÍMKŮ 2,2550,2499,385
L20 VÝKUP KELÍMKŮ 1,2317,2272,235
Place 16,2314,2189,214
Place 14,2267,2156,265
A7 BIRELL,2196,2143,180
Place 13,2122,2043,178
A6 PROSECCO BAR ( FRISCO) 1,2106,1990,160
A8 PLZEŇSKÝ PRAZDROJ 1,1983,1832,247
L20 VÝKUP KELÍMKŮ 2,1938,1866,229
A1 VIP ZONA 1,1927,1543,193
A5 HAVANA 1,1760,1655,144
Place 10,1745,1694,166
L15 BIRELL,1719,1659,184
L17 JACK DANIELS 1,1528,1373,137
S1 PIVO 1,1473,1367,133
01 BEEFEATER BAR 1,1265,1144,87
Place 87,1124,1091,123
Place 15,1112,1055,103
A19 PIVO 3,1027,975,200
A6 PROSECCO BAR ( FRISCO) 2,1019,964,80
A9 ZON 2,939,923,163
A9 ZON 1,899,879,141
05 VÝKUP KELÍMKŮ 2,833,814,145
A22 PIVO 1,817,750,149
A20 LEMOND 1,757,666,77
Domácí hranolky 2,754,748,76
A21 PIVO 3,749,707,159
L18 REDBULL BAR 1,727,647,68
Pokladna 17,724,724,134
L18 REDBULL BAR 3,698,630,57
L18 REDBULL BAR 4,693,610,55
L20 PIVNÍ STAN 5,682,660,129
A21 PIVO 1,670,631,122
Pokladna 19,648,647,86
05 VÝKUP KELÍMKŮ 1,642,626,79
L18 REDBULL BAR 2,626,556,53
Place 71,621,611,69
A19 PIVO 2,615,600,125
Pokladna 2,574,574,100
Pokladna 3,566,566,111
Pokladna 4,553,553,102
Place 26,543,502,49
L20 PIVNÍ STAN 2,525,510,116
Pokladna 18,508,508,92
Place 48,506,501,50
Place 32,505,487,44
04 REDBULL BAR 2,503,446,42
L20 PIVNÍ STAN 4,500,482,116
Pokladna 16,481,481,79
Pokladna 5,470,470,88
L20 PIVNÍ STAN 3,458,434,122
A19 PIVO 4,452,441,95
A21 PIVO 2,448,426,118
06 BEERPONG,446,385,33
Pokladna 15,429,429,75
A2 PIVO 3,410,398,110
Pokladna 1,406,406,90
S2 HAVANA BAR 1,390,358,50
Pokladna 6,385,385,82
04 REDBULL BAR 3,380,344,37
05 PIVO 3,371,349,79
Pokladna 8,359,359,56
04 REDBULL BAR 1,357,326,34
04 REDBULL BAR 4,357,324,31
Pokladna 7,355,355,68
Pokladna 14,343,343,68
A1 VIP ZONA 3,328,294,67
A20 LEMOND 5,306,284,30
A8 PLZEŇSKÝ PRAZDROJ 3,301,284,66
Pokladna 13,286,286,45
L22 BEEFEATER/ HAVANA 3,284,265,47
A4 SUVENÝRY 1,277,263,30
A5 HAVANA 4,271,264,48
Pokladna 9,266,266,63
A20 LEMOND 4,260,240,55
A1 VIP ZONA 2,258,229,62
A20 LEMOND 2,252,230,40
L22 BEEFEATER/ HAVANA 2,248,236,54
L22 BEEFEATER/ HAVANA 5,246,231,46
01 BEEFEATER BAR 2,241,223,38
05 PIVO 2,228,208,41
Prodej vstupenek - nádraží,220,0,27
A8 PLZEŇSKÝ PRAZDROJ 2,209,202,39
05 PIVO 4,207,199,39
A5 HAVANA 2,205,195,35
Place 27,203,202,53
A20 LEMOND 3,203,186,29
Pokladna 10,199,199,60
A5 HAVANA 3,192,183,43
Place 35,191,190,27
A2 PIVO 2,190,179,54
Place 21,188,110,12
Place 37,187,173,19
L22 BEEFEATER/ HAVANA 4,179,169,36
Place 12,160,128,16
Prodej vstupenek - Zoo,156,0,18
Place 66,153,151,26
L17 JACK DANIELS 2,152,136,29
Pokladna 12,149,149,32
Pokladna 20,146,146,29
Pokladna 11,145,145,38
S1 PIVO 2,142,139,54
Place 75,140,138,13
L17 JACK DANIELS 3,130,121,31
Prodej vstupenek - Centrum,116,0,13
L17 JACK DANIELS 4,113,103,24
A20 LEMOND - hostesky 2,108,97,32
A20 LEMOND - hostesky 3,100,94,35
Place 99,75,72,8
S2 HAVANA BAR 2,66,62,28
VIP fotokoutek,49,45,7
Taxi 16,46,24,8
Taxi 55,35,25,5
Taxi 82,34,17,4
Taxi 89,33,18,5
Taxi 81,33,26,6
Taxi 20,32,16,4
Place 62,31,31,7
A4 SUVENÝRY 2,29,27,10
Taxi 40,28,17,4
Taxi 11,27,12,4
Support,23,23,4
Taxi 51,21,11,4
Taxi 50,8,5,4
,0,0,0
